Table 1
State,Gender,Year,Top Name,Occurrences
CA,F,1910,Mary,295
CA,F,1911,Mary,390
CA,F,1912,Mary,534
CA,F,1913,Mary,584
CA,F,1914,Mary,773
CA,F,1915,Mary,998
CA,F,1916,Mary,1091
CA,F,1917,Mary,1149
CA,F,1918,Mary,1252
CA,F,1919,Mary,1204
CA,F,1920,Mary,1554
CA,F,1921,Mary,1696
CA,F,1922,Mary,1732
CA,F,1923,Mary,1829
CA,F,1924,Mary,1959
CA,F,1925,Mary,1891
CA,F,1926,Mary,1718
CA,F,1927,Mary,1817
CA,F,1928,Mary,1787
CA,F,1929,Mary,1713
CA,F,1930,Mary,1851
CA,F,1931,Mary,1625
CA,F,1932,Barbara,1654
CA,F,1933,Barbara,1513
CA,F,1934,Mary,1590
CA,F,1935,Barbara,1521
CA,F,1936,Mary,1541
CA,F,1937,Mary,1712
CA,F,1938,Mary,1876
CA,F,1939,Mary,1699
CA,F,1940,Mary,1819
CA,F,1941,Mary,1950
CA,F,1942,Linda,2461
CA,F,1943,Mary,2929
CA,F,1944,Linda,3002
CA,F,1945,Linda,3192
CA,F,1946,Linda,3779
CA,F,1947,Linda,6756
CA,F,1948,Linda,6607
CA,F,1949,Linda,6266
CA,F,1950,Linda,5392
CA,F,1951,Linda,4881
CA,F,1952,Linda,4773
CA,F,1953,Linda,4449
CA,F,1954,Linda,4154
CA,F,1955,Debra,3965
CA,F,1956,Susan,3769
CA,F,1957,Susan,3628
CA,F,1958,Susan,3504
CA,F,1959,Mary,3192
CA,F,1960,Karen,3168
CA,F,1961,Lisa,3765
CA,F,1962,Lisa,3972
CA,F,1963,Lisa,4940
CA,F,1964,Lisa,4803
CA,F,1965,Lisa,4926
CA,F,1966,Lisa,4928
CA,F,1967,Lisa,4623
CA,F,1968,Lisa,4493
CA,F,1969,Lisa,4173
CA,F,1970,Jennifer,4695
CA,F,1971,Jennifer,5455
CA,F,1972,Jennifer,6068
CA,F,1973,Jennifer,5648
CA,F,1974,Jennifer,5674
CA,F,1975,Jennifer,5322
CA,F,1976,Jennifer,5572
CA,F,1977,Jennifer,5541
CA,F,1978,Jennifer,5293
CA,F,1979,Jennifer,5461
CA,F,1980,Jennifer,5611
CA,F,1981,Jennifer,5625
CA,F,1982,Jennifer,5815
CA,F,1983,Jennifer,5827
CA,F,1984,Jennifer,5518
CA,F,1985,Jessica,5533
CA,F,1986,Jessica,5961
CA,F,1987,Jessica,6844
CA,F,1988,Jessica,6489
CA,F,1989,Jessica,6531
CA,F,1990,Jessica,6628
CA,F,1991,Jessica,6951
CA,F,1992,Jessica,6339
CA,F,1993,Jessica,5545
CA,F,1994,Jessica,5304
CA,F,1995,Jessica,4622
CA,F,1996,Jessica,3834
CA,F,1997,Jessica,3217
CA,F,1998,Jessica,2844
CA,F,1999,Emily,2825
CA,F,2000,Emily,2958
CA,F,2001,Emily,2927
CA,F,2002,Emily,3018
CA,F,2003,Emily,3415
CA,F,2004,Emily,3415
CA,F,2005,Emily,3280
CA,F,2006,Emily,3098
CA,F,2007,Emily,2957
